ADM_RATE,AGE_ENTRY,AVGFACSAL,CONTROL,COSTT4_A,ENDOWBEGIN,FEMALE,FIRST_GEN,GRAD_DEBT_MDN,LOCALE,MD_EARN_WNE_P10,MN_EARN_WNE_P10,PCIP14,PCIP27,PFTFAC,PCT_ASIAN,PCT_BLACK,PCT_WHITE,PCT_HISPANIC,PCTPELL,REGION,SAT_AVG,UGDS
0.7556,22.846570397,7942,Private-NP,68087,98145000,0.5523465704,0.2428842505,31000,City,70731,62300,0,0,0.2669,16.4599990844726,5.19999980926513,60.4799995422363,26.6599998474121,0.3007,Far West,NA,2026
0.941,26.05728789,8957,Private-NP,54720,76922937,0.7258883249,0.3798259924,23219,Surbuban,61701,55900,0.0047,0.0113,0.414,8.48999977111816,4.34000015258789,68.4199981689453,27.7800006866455,0.3312,Far West,1117,3937
NA,26.635416667,2482,Private-NP,19754,NA,0.34375,0.4939759036,9000,City,NA,NA,0,0,0.125,24.9799995422363,4.13000011444091,46.0999984741211,37.7799987792968,0.2702,Far West,NA,264
0.6077,20.36529372,9807,Private-NP,57403,163345746,0.6677920324,0.2355072464,23875,Surbuban,53148,50700,0.0123,0.0111,1,8.61999988555908,4.28999996185302,70.0699996948242,24.8199996948242,0.2736,Far West,1228,3592
0.6373,24.09567021,10151,Private-NP,46274,82924687,0.6606170599,0.4160798122,26063,City,56253,47500,0.0777,0.0066,0.4284,5.07999992370605,7.13999986648559,65.8300018310547,31.1499996185302,0.4417,Far West,NA,8234
0.7763,21.543243243,8739,Private-NP,68296,37330000,0.6189189189,0.2441860465,27000,City,49184,48000,0,0,0.2209,10.7200002670288,7.96999979019165,69.1100006103515,15.5699996948242,0.2324,Far West,NA,1239
0.0392,19.347826087,20924,Private-NP,77718,3085500000,0.4565217391,NA,NA,City,104209,106300,0.2863,0.0969,0.941,11.3900003433227,5.51999998092651,72.120002746582,16.25,0.1154,Far West,NA,987
0.8194,22.313108614,10375,Private-NP,55039,116063460,0.6172284644,0.3538587849,21669,City,65401,60200,0,0.0085,1,6.53000020980835,3.42000007629394,74.0599975585937,22.5499992370605,0.3249,Far West,1200,2588
0.33,20.141066545,10582,Public,28843,226112910,0.5029626253,0.2480620155,18500,Surbuban,85801,74300,0.2314,0.0173,0.6798,8.3100004196167,3.38000011444091,73.4100036621093,20.6399993896484,0.1628,Far West,NA,21090
0.8521,23.174311927,9468,Public,18172,26944055,0.6426605505,0.5817223199,16600,City,55530,50100,0.028,0.0156,0.509,4.15000009536743,7.32999992370605,60.1599998474121,38.3199996948242,0.6105,Far West,NA,8870
0.9476,23.210428737,9639,Public,17005,16131357,0.6771726535,0.5994566858,13540,Surbuban,58120,48500,0,0.0137,0.5114,6.5,3.90000009536743,64.7799987792968,32.9900016784668,0.5706,Far West,NA,9161
